"Input Cuisines","Input Dietary Preferences","Recommendation 1 Name","Recommendation 1 Cuisines","Recommendation 1 Dietary Preferences","Recommendation 2 Name","Recommendation 2 Cuisines","Recommendation 2 Dietary Preferences","Recommendation 3 Name","Recommendation 3 Cuisines","Recommendation 3 Dietary Preferences","Error"
"Italian","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Italian","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Italian","Halal","Ameen Makan House","Indian, Thai","Halal","Akbar 24 Hours Restaurant","","Halal","Teh Tarik Time","Indian","Halal",
"Italian","","Mahota Commune","Italian","","Peperoni Pizzeria","Italian","","iO Italian Osteria","Italian","",
"Italian, Indian","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Italian, Indian","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Italian, Indian","Halal","Ameen Makan House","Indian, Thai","Halal","Teh Tarik Time","Indian","Halal","Akbar 24 Hours Restaurant","","Halal",
"Italian, Indian","","Alif","Indian, Malaysian","","Al Afrose Restaurant","Pakistani, Indian","","Ameen Makan House","Indian, Thai","Halal",
"Italian, Indian, Mexican","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Italian, Indian, Mexican","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Italian, Indian, Mexican","Halal","Ameen Makan House","Indian, Thai","Halal","Teh Tarik Time","Indian","Halal","Akbar 24 Hours Restaurant","","Halal",
"Italian, Indian, Mexican","","Alif","Indian, Malaysian","","Al Afrose Restaurant","Pakistani, Indian","","Ameen Makan House","Indian, Thai","Halal",
"Italian, Mexican","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Italian, Mexican","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Italian, Mexican","Halal","Ameen Makan House","Indian, Thai","Halal","Akbar 24 Hours Restaurant","","Halal","Teh Tarik Time","Indian","Halal",
"Italian, Mexican","","Mahota Commune","Italian","","iO Italian Osteria","Italian","","La Strada","Italian","",
"Indian","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Indian","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Indian","Halal","Ameen Makan House","Indian, Thai","Halal","Teh Tarik Time","Indian","Halal","Akbar 24 Hours Restaurant","","Halal",
"Indian","","Alif","Indian, Malaysian","","Al Afrose Restaurant","Pakistani, Indian","","Ameen Makan House","Indian, Thai","Halal",
"Indian, Mexican","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Indian, Mexican","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Indian, Mexican","Halal","Ameen Makan House","Indian, Thai","Halal","Teh Tarik Time","Indian","Halal","Akbar 24 Hours Restaurant","","Halal",
"Indian, Mexican","","Alif","Indian, Malaysian","","Al Afrose Restaurant","Pakistani, Indian","","Ameen Makan House","Indian, Thai","Halal",
"Mexican","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"Mexican","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"Mexican","Halal","Ameen Makan House","Indian, Thai","Halal","Akbar 24 Hours Restaurant","","Halal","Teh Tarik Time","Indian","Halal",
"Mexican","","Vatos Urban Tacos","Mexican","","Don't Tell Mama","Korean, Mexican","","Afterwit","Mexican","Halal",
"","Vegetarian","Ananda Bhavan","Indian","Vegetarian","","","","","","",
"","Vegetarian, Halal",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"
"","Halal","Ameen Makan House","Indian, Thai","Halal","Akbar 24 Hours Restaurant","","Halal","Teh Tarik Time","Indian","Halal",
"","",,,,,,,,,,"Cannot read properties of undefined (reading 'join')"